央视,#genre#
CCTV-1,http://111.225.92.155:33333/hls/1/index.m3u8
CCTV-2,http://111.225.92.155:33333/hls/2/index.m3u8
CCTV-3,http://111.225.92.155:33333/hls/3/index.m3u8
CCTV-4,http://111.225.92.155:33333/hls/4/index.m3u8
CCTV-5,http://111.225.92.155:33333/hls/5/index.m3u8
CCTV-6,http://111.225.92.155:33333/hls/6/index.m3u8
CCTV-7,http://111.225.92.155:33333/hls/7/index.m3u8
CCTV-8,http://111.225.92.155:33333/hls/8/index.m3u8
CCTV-9,http://111.225.92.155:33333/hls/9/index.m3u8
CCTV-10,http://111.225.92.155:33333/hls/10/index.m3u8
CCTV-11,http://111.225.92.155:33333/hls/11/index.m3u8
CCTV-12,http://111.225.92.155:33333/hls/12/index.m3u8
CCTV-13,http://111.225.92.155:33333/hls/13/index.m3u8
CCTV-14,http://111.225.92.155:33333/hls/14/index.m3u8
CCTV-15,http://111.225.92.155:33333/hls/15/index.m3u8
CCTV-17,http://111.225.92.155:33333/hls/16/index.m3u8
CCTV5+,http://111.225.92.155:33333/hls/17/index.m3u8
CCTV-台球,http://111.225.92.155:33333/hls/132/index.m3u8
CCTV-兵器科技,http://111.225.92.155:33333/hls/158/index.m3u8
CCTV-世界地理,http://111.225.92.155:33333/hls/159/index.m3u8
CETV-1,http://111.225.92.155:33333/hls/114/index.m3u8
CETV-2,http://111.225.92.155:33333/hls/115/index.m3u8
CETV-4,http://111.225.92.155:33333/hls/116/index.m3u8
茶频道,http://111.225.92.155:33333/hls/117/index.m3u8
快乐垂钓,http://111.225.92.155:33333/hls/118/index.m3u8
中国交通频道,http://111.225.92.155:33333/hls/120/index.m3u8
新动漫,http://111.225.92.155:33333/hls/121/index.m3u8
先锋乒羽,http://111.225.92.155:33333/hls/122/index.m3u8
环球旅游,http://111.225.92.155:33333/hls/123/index.m3u8
车迷,http://111.225.92.155:33333/hls/124/index.m3u8
游戏风云,http://111.225.92.155:33333/hls/125/index.m3u8
欢笑剧场,http://111.225.92.155:33333/hls/126/index.m3u8
动漫秀场,http://111.225.92.155:33333/hls/127/index.m3u8
生活时尚,http://111.225.92.155:33333/hls/128/index.m3u8
都市剧场,http://111.225.92.155:33333/hls/129/index.m3u8



卫视,#genre#
河北卫视,http://111.225.92.155:33333/hls/18/index.m3u8
河北经济生活,http://111.225.92.155:33333/hls/19/index.m3u8
河北都市,http://111.225.92.155:33333/hls/20/index.m3u8
河北影视剧,http://111.225.92.155:33333/hls/21/index.m3u8
河北少儿科教,http://111.225.92.155:33333/hls/22/index.m3u8
河北公共,http://111.225.92.155:33333/hls/23/index.m3u8
河北农民,http://111.225.92.155:33333/hls/24/index.m3u8
北京卫视,http://111.225.92.155:33333/hls/25/index.m3u8
湖南卫视,http://111.225.92.155:33333/hls/26/index.m3u8
黑龙江卫视,http://111.225.92.155:33333/hls/27/index.m3u8
深圳卫视,http://111.225.92.155:33333/hls/28/index.m3u8
江苏卫视,http://111.225.92.155:33333/hls/29/index.m3u8
东方卫视,http://111.225.92.155:33333/hls/30/index.m3u8
浙江卫视,http://111.225.92.155:33333/hls/31/index.m3u8
天津卫视,http://111.225.92.155:33333/hls/32/index.m3u8
山东卫视,http://111.225.92.155:33333/hls/33/index.m3u8
广东卫视,http://111.225.92.155:33333/hls/34/index.m3u8
辽宁卫视,http://111.225.92.155:33333/hls/35/index.m3u8
纪实人文高清,http://111.225.92.155:33333/hls/36/index.m3u8
云南卫视,http://111.225.92.155:33333/hls/37/index.m3u8
广西卫视,http://111.225.92.155:33333/hls/38/index.m3u8
陕西卫视,http://111.225.92.155:33333/hls/39/index.m3u8
山西卫视,http://111.225.92.155:33333/hls/40/index.m3u8
内蒙古卫视,http://111.225.92.155:33333/hls/41/index.m3u8
海南卫视,http://111.225.92.155:33333/hls/42/index.m3u8
安徽卫视,http://111.225.92.155:33333/hls/43/index.m3u8
湖北卫视,http://111.225.92.155:33333/hls/44/index.m3u8
青海卫视,http://111.225.92.155:33333/hls/45/index.m3u8
宁夏卫视,http://111.225.92.155:33333/hls/46/index.m3u8
西藏卫视,http://111.225.92.155:33333/hls/47/index.m3u8
山东教育,http://111.225.92.155:33333/hls/48/index.m3u8
江西卫视,http://111.225.92.155:33333/hls/49/index.m3u8
东南卫视,http://111.225.92.155:33333/hls/50/index.m3u8
吉林卫视,http://111.225.92.155:33333/hls/51/index.m3u8
河南卫视,http://111.225.92.155:33333/hls/52/index.m3u8
贵州卫视,http://111.225.92.155:33333/hls/53/index.m3u8
四川卫视,http://111.225.92.155:33333/hls/54/index.m3u8
重庆卫视,http://111.225.92.155:33333/hls/55/index.m3u8
新疆卫视,http://111.225.92.155:33333/hls/56/index.m3u8
北京纪实科教,http://111.225.92.155:33333/hls/58/index.m3u8
金鹰纪实,http://111.225.92.155:33333/hls/59/index.m3u8
甘肃卫视,http://111.225.92.155:33333/hls/60/index.m3u8
kaku少儿,http://111.225.92.155:33333/hls/61/index.m3u8
金鹰卡通,http://111.225.92.155:33333/hls/62/index.m3u8
保定-1,http://111.225.92.155:33333/hls/63/index.m3u8
保定-2,http://111.225.92.155:33333/hls/64/index.m3u8
保定-3,http://111.225.92.155:33333/hls/65/index.m3u8
阜平电视台,http://111.225.92.155:33333/hls/66/index.m3u8
望都电视台,http://111.225.92.155:33333/hls/69/index.m3u8
满城电视台,http://111.225.92.155:33333/hls/70/index.m3u8
曲阳电视台,http://111.225.92.155:33333/hls/71/index.m3u8
定州电视台,http://111.225.92.155:33333/hls/72/index.m3u8
清苑电视台,http://111.225.92.155:33333/hls/74/index.m3u8
涿州电视台,http://111.225.92.155:33333/hls/76/index.m3u8
安新电视台,http://111.225.92.155:33333/hls/77/index.m3u8
高碑店电视,http://111.225.92.155:33333/hls/78/index.m3u8
涞源综合,http://111.225.92.155:33333/hls/79/index.m3u8
