联系方式,#genre#
QQ群,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ01YMWpwU2NLUlh3PQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
418118493,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
当前源时间,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
05-17 22:20,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
最新源时间,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
05-17 22:05,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
APP重启更新源,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
当前源版本V2,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
最新源版本V2,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czRwVlcyMXBsOUZ5a0pBTC9SNHg3OWhrNmVzYlRpUDh0WTJpdmcvMnhqN29XWXpTYWEwOUNNQ0VIT1ljcEFYL2ZzPQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
央视,#genre#
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/NWcrMVpGMFF4czQyTlJneE1oejUySmVQMjdPNmlieGVHMGVRNis4TngzOW9RMmFXa04yaWNYb1VFQmI4dVpxdjVtR0o2Y1NCa0oyYjF6dFl5UElKMHFDdWNOWGpXckx6eWEraEJESWEwMFk9/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/TWw5YjFQWGx6NEh4WU1oZFdFNVdVS3dzREt4d2FmY1dvT2xxazJHdGt6SUkxNWcraTVBSDdUY29seGcwbmNhVE9jK05EZ0gxUXlGbHRrRENBTVJCNmVCZGRpNUJGS0hR/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/dDQzNWh4UWkrK3ZjQXR3eXVjUzZBeWphdFBVNU9vZlpHVFZHclNrM0hqL3lYZTFYNjRCMHl6MEpFVnNOL3VxUkFWVUJ1UUpEQkZTQkx4b0lzby82WkMzbFNKd3BaSkdV/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/TENuMHlKbWU3Zno1ZEpWQ0dRc0tzZ3J2QjV2YjgxMDU4VDQ5YTY4WWFnTTNDR2dDZGV5emoyV1haNjVzMmhDbERuMWM3MTdVdWl5RWI5L1czWGs0S2lWSWxaUktkd3F0/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/VEEvVEQxMU50SHhQN2g2ejg1SHI4VWNnd3l2Q2t6Y1dqWXB1ZTdQRzNEbno1MkVCQjd1WnVZbGR1RjZKZTVLVU9qK0JyeWdnNFhBOFl0S01mV0pRdUplaGkzRkFkNkpScHpyZlBHQnQ0aTd0RkhPd1hFOUhUWGx2WVNCTE52QlNrRDJhNXZxdTlMWT0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/bHJISHhtajJnUmR6TXlKS1RDbHdReEY2cmJRbnBTc0JNRUVxWUcvcGxrNkhBUEtJckU1aXhlSllHV0ZtVkFYSXM4aVFBaDhWN2Q2VkVBWTl6Ri9PV3c9PQ==/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/K2FNT3Q4WlFvQjM3TlErVGFNSC8rd1hXcEFkVkVqWXVQcnlVdVlkamFwenFnVnpjdlFqamQrQTFJSlJCa1FuTVQ0VWZmTG5rVTlBcXF4MmRhYW55d1djVjRQdm9MN1Ev/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/MXRlWWdKaTE5QnovZjVtWExmNWNOMjdFRithQ2g4ZXBwVEZzTmFjazVna0pzY1R3azhyVjNOTXJVQXN5Nng1NUdnNisyUExLR2NVaThaTDVzUG12ZDJ2YXJuWi9pT0Nld3hNUkp5ZzN1OWZZRnpJZHJINXlVR3ZCdEp6dGpVZUlKNVNNaGswMUh4Yz0=/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/MXRlWWdKaTE5QnhjVmpsU01yZVdDQTlGSkdLVWMzeUhvMXZzRE5WVm1EcDRQQUlpOWZJcVNwUzRhaWIrNTBSeHJNL0p4STVBb3pJYzFxZTNzNzhOTlZKeDdVbUd6M0V2eklXeWxaSGlIZzg9/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
CCTV-1 综合,http://iptv_play.yjxfz.com/ShenQiHelper/tv/play/2/TENuMHlKbWU3ZndySlhLNkpPR292YjBPMldrVG1xRlFVRUZKY1NhaUlXUXo3a0M1UGFrS1hwUmtZUEdFcXlBUGJSUEVjZXJUR1dJcHBRUEFucWpCYnJrODBZTXFFVTR4/+d3Xw95ENdIUPRHcoYuQ6Q==/txt/2
