
#湖南,#genre#
LDETV,http://175.10.35.133:4502/udp/239.76.248.20:1234 -- 0.76 MB/s
娄底综合,http://175.10.35.133:4502/udp/239.76.248.18:1234 -- 0.76 MB/s
娄底综合,http://175.10.33.9:4502/udp/239.76.248.18:1234 -- 0.77 MB/s
张家界2,http://175.10.33.9:4502/udp/239.76.245.235:1234 -- 0.82 MB/s
张家界综合,http://175.10.35.133:4502/udp/239.76.252.234:9000 -- 0.75 MB/s
张家界综合,http://175.10.33.9:4502/udp/239.76.252.234:9000 -- 0.77 MB/s
文物宝库,http://175.10.33.9:4502/udp/239.76.245.180:1234 -- 0.76 MB/s
湖南公共,http://175.10.33.9:4502/udp/239.76.246.109:1234 -- 0.76 MB/s
湖南国际,http://175.10.35.133:4502/udp/239.76.246.102:1234 -- 0.30 MB/s
湖南电影,http://175.10.35.133:4502/udp/239.76.252.119:9000 -- 0.96 MB/s
湖南电影,http://175.10.33.9:4502/udp/239.76.252.119:9000 -- 0.97 MB/s
衡阳公共,http://175.10.33.9:4502/udp/239.76.248.14:1234 -- 0.76 MB/s
衡阳综合,http://175.10.33.9:4502/udp/239.76.248.13:1234 -- 0.76 MB/s
金鹰纪实,http://175.10.33.9:4502/udp/239.76.246.110:1234 -- 0.77 MB/s
金鹰纪实,http://175.10.35.133:4502/udp/239.76.246.110:1234 -- 0.76 MB/s
长沙新闻,http://175.10.35.133:4502/udp/239.76.246.121:1234 -- 0.77 MB/s
